Curve Name,Year,Quarter,Deal ID,Deal Name,Product Name,Instrument,Status,Buy/Sell,Strategy,Region ID,Group,Volume (MWh),Fixed Earnings,VW Fixed Rate,Floating Earnings,VW Floating Rate,TW Floating Price,Total Earnings
2024 Hindcast,2025,4,2281,Consumption VIC1 SBS TOU,Consumption VIC1 SBS TOU,Retail Customer,Contracted,Sell,VIC Renewable Retailer,VIC1,retail_lgc,116.3123245081906,5571.360343942358,47.90000000000024,-3012.489204762061,-25.899999999999352,25.899999618530273,2558.871139180187
2024 Hindcast,2025,1,2426,Energy Ginan Solar 202406,Energy Ginan Solar 202406,Intermittent Generator,Contracted,Buy,Value Solar,VIC1,ppa_lgc,26261.98212918527,-498977.66045452014,-19.0,680185.3371458993,25.90000000000003,25.899999618530273,181207.67669137815
2024 Hindcast,2025,1,1766,Energy Numurkah Solar 201810,Energy Numurkah Solar 201810,Intermittent Generator,Contracted,Buy,VIC Renewable Retailer,VIC1,ppa_lgc,29025.902999999784,-435388.54500000115,-15.000000000000151,751770.8876999918,25.89999999999991,25.899999618530273,316382.3427000013
2024 Hindcast,2025,1,1745,Consumption VIC1 Bunnings TOU,Consumption VIC1 Bunnings TOU,Retail Customer,Contracted,Sell,VIC Renewable Retailer,VIC1,retail_lgc,14742.90761343379,554775.6134935153,37.63000000000012,-381841.30718793714,-25.900000000000134,25.899999618530273,172934.30630557914
2024 Hindcast,2025,1,985,SE000808,LGC 2024,Certificate,Contracted,Sell,Green,AU,wholesale_lgc,20000.0,825000.0,41.25,-518000.0,-25.9,25.899999618530273,307000.0
2024 Hindcast,2025,1,2674,SE002128,LGC 2024,Certificate,Contracted,Buy,Portfolio Optimisation,AU,wholesale_lgc,10000.0,-375000.0,-37.5,259000.0,25.9,25.899999618530273,-116000.0
2024 Hindcast,2025,1,2851,SE002276,LGC 2025,Certificate,Contracted,Sell,Green,AU,wholesale_lgc,25000.0,631250.0,25.25,-647500.0,-25.9,25.899999618530273,-16250.0
2024 Hindcast,2025,1,1754,Energy Ferguson Wind 202212,Energy Ferguson Wind 202212,Wind Farm,Contracted,Buy,VIC Renewable Retailer,VIC1,ppa_lgc,5925.3423929421015,-165909.58700237767,-27.9999999999998,153466.36797720043,25.9,25.899999618530273,-12443.219025178403
2024 Hindcast,2025,1,2572,SE002031,LGC 2024,Certificate,Contracted,Buy,Green,AU,wholesale_lgc,20000.0,-895000.0,-44.75,518000.0,25.9,25.899999618530273,-377000.0
2024 Hindcast,2025,4,1746,Consumption VIC1 CSIRO TOU,Consumption VIC1 CSIRO TOU,Retail Customer,Contracted,Sell,VIC Renewable Retailer,VIC1,retail_lgc,6626.289811676027,79515.47774011234,12.000000000000004,-171620.90612240907,-25.899999999999995,25.899999618530273,-92105.42838229692
2024 Hindcast,2025,1,1945,SE001540,LGC 2024,Certificate,Contracted,Buy,Green,AU,wholesale_lgc,10000.0,-463500.0,-46.35,259000.0,25.9,25.899999618530273,-204500.0
2024 Hindcast,2025,4,1745,Consumption VIC1 Bunnings TOU,Consumption VIC1 Bunnings TOU,Retail Customer,Contracted,Sell,VIC Renewable Retailer,VIC1,retail_lgc,13221.663745208718,439620.31952818995,33.25000000000001,-342441.09100090683,-25.900000000000077,25.899999618530273,97179.22852728446
2024 Hindcast,2025,4,1755,Energy Moree Solar 202202,Energy Moree Solar 202202,Intermittent Generator,Contracted,Buy,Value Solar,NSW1,ppa_lgc,8483.077618468098,-326598.4883110217,-38.49999999999999,219711.71031832314,25.899999999999928,25.899999618530273,-106886.7779926981
2024 Hindcast,2025,2,1761,Energy Wagga Wagga Solar 202303,Energy Wagga Wagga Solar 202303,Intermittent Generator,Contracted,Buy,Value Solar,NSW1,ppa_lgc,5717.071994866924,-131492.6558819421,-23.0000000000005,148072.1646670565,25.900000000000553,25.899999618530273,16579.50878511432
2024 Hindcast,2025,3,1735,Consumption SA1 SACOME TOU,Consumption SA1 SACOME TOU,Retail Customer,Contracted,Sell,SA Renewable Retailer,SA1,retail_lgc,6827.53541967041,259446.3459474767,38.00000000000016,-176833.16736946438,-25.900000000000112,25.899999618530273,82613.17857801192
2024 Hindcast,2025,1,2643,SE002098,LGC 2024,Certificate,Contracted,Buy,Portfolio Optimisation,AU,wholesale_lgc,20000.0,-820000.0,-41.0,518000.0,25.9,25.899999618530273,-302000.0
2024 Hindcast,2025,3,2443,Energy Cathedral Rocks Wind 202408,Energy Cathedral Rocks Wind 202408,Wind Farm,Contracted,Buy,SA Renewable Retailer,SA1,ppa_lgc,45494.82499999997,-454948.2500000004,-10.000000000000016,1178315.967499999,25.9,25.899999618530273,723367.7175000003
2024 Hindcast,2025,4,2426,Energy Ginan Solar 202406,Energy Ginan Solar 202406,Intermittent Generator,Contracted,Buy,Value Solar,VIC1,ppa_lgc,24638.93064346203,-468139.6822257789,-19.00000000000001,638148.3036656673,25.90000000000003,25.899999618530273,170008.62143988814
2024 Hindcast,2025,3,1757,Energy Mulwala Solar 202209,Energy Mulwala Solar 202209,Intermittent Generator,Contracted,Buy,Value Solar,NSW1,ppa_lgc,1824.2376342799575,-45605.94085699852,-24.99999999999977,47247.754727850566,25.899999999999817,25.899999618530273,1641.8138708519414
2024 Hindcast,2025,1,1628,SE001348,LGC 2024,Certificate,Contracted,Sell,Green,AU,wholesale_lgc,50000.0,2400000.0,48.0,-1295000.0,-25.9,25.899999618530273,1105000.0
2024 Hindcast,2025,4,2706,Energy Kerang Solar 202408,Energy Kerang Solar 202408,Intermittent Generator,Contracted,Buy,Value Solar,VIC1,ppa_lgc,19095.171248683007,-286427.56873024604,-15.000000000000048,494564.93534089095,25.900000000000055,25.899999618530273,208137.36661064537
2024 Hindcast,2025,1,1984,SE001579,LGC 2024,Certificate,Contracted,Buy,Green,AU,wholesale_lgc,20000.0,-950000.0,-47.5,518000.0,25.9,25.899999618530273,-432000.0
2024 Hindcast,2025,2,1752,Energy Blue Grass Solar 202203,Energy Blue Grass Solar 202203,Intermittent Generator,Contracted,Buy,Value Solar,QLD1,ppa_lgc,19753.995195833355,-252851.1385066668,-12.799999999999992,511628.47557208344,25.899999999999977,25.899999618530273,258777.33706541726
2024 Hindcast,2025,1,1755,Energy Moree Solar 202202,Energy Moree Solar 202202,Intermittent Generator,Contracted,Buy,Value Solar,NSW1,ppa_lgc,9710.998229833329,-373873.43184858386,-38.50000000000007,251514.8541526824,25.899999999999917,25.899999618530273,-122358.57769590027
2024 Hindcast,2025,1,2640,SE002095,LGC 2024,Certificate,Contracted,Buy,Portfolio Optimisation,AU,wholesale_lgc,10000.0,-412500.0,-41.25,259000.0,25.9,25.899999618530273,-153500.0
2024 Hindcast,2025,3,1711,Consumption NSW1 SSROC Non-TOU,Consumption NSW1 SSROC Non-TOU,Retail Customer,Contracted,Sell,NSW Renewable Retailer,NSW1,retail_lgc,2234.2266115153325,39657.522354397224,17.750000000000032,-57866.46923824729,-25.90000000000008,25.899999618530273,-18208.946883849996
2024 Hindcast,2025,4,1753,Energy Diapur Wind 202212,Energy Diapur Wind 202212,Wind Farm,Contracted,Buy,VIC Renewable Retailer,VIC1,ppa_lgc,9734.6954695937,-272571.47314864624,-28.000000000002323,252128.6126624748,25.899999999999793,25.899999618530273,-20442.860486148267
2024 Hindcast,2025,1,2641,SE002096,LGC 2024,Certificate,Contracted,Buy,Portfolio Optimisation,AU,wholesale_lgc,25000.0,-1035000.0,-41.4,647500.0,25.9,25.899999618530273,-387500.0
2024 Hindcast,2025,2,1731,Consumption SA1 SA Government Non-TOU,Consumption SA1 SA Government Non-TOU,Retail Customer,Contracted,Sell,SA Renewable Retailer,SA1,retail_lgc,25688.69371299908,205509.54970399264,8.0,-665337.1671666761,-25.9,25.899999618530273,-459827.6174626831
2024 Hindcast,2025,3,1762,Energy Waubra Wind 202208,Energy Waubra Wind 202208,Wind Farm,Contracted,Buy,SA Renewable Retailer,VIC1,ppa_lgc,57343.25695442497,-1404909.7953834068,-24.499999999999915,1485190.3551196053,25.899999999999974,25.899999618530273,80280.55973619499
2024 Hindcast,2025,3,1737,Consumption SA1 Sarstedt TOU,Consumption SA1 Sarstedt TOU,Retail Customer,Contracted,Sell,SA Renewable Retailer,SA1,retail_lgc,319.46474562215235,6948.358217281832,21.75000000000006,-8274.136911613854,-25.90000000000034,25.899999618530273,-1325.778694331975
2024 Hindcast,2025,3,1712,Consumption NSW1 SSROC TOU,Consumption NSW1 SSROC TOU,Retail Customer,Contracted,Sell,NSW Renewable Retailer,NSW1,retail_lgc,41032.154411266674,728320.7407999819,17.74999999999996,-1062732.799251802,-25.89999999999988,25.899999618530273,-334412.0584518223
2024 Hindcast,2025,1,1849,SE001444,LGC 2024,Certificate,Contracted,Sell,Green,AU,wholesale_lgc,25000.0,1212500.0,48.5,-647500.0,-25.9,25.899999618530273,565000.0
2024 Hindcast,2025,4,2443,Energy Cathedral Rocks Wind 202408,Energy Cathedral Rocks Wind 202408,Wind Farm,Contracted,Buy,SA Renewable Retailer,SA1,ppa_lgc,38379.96148,-383799.6147999988,-9.99999999999997,994041.0023319992,25.89999999999998,25.899999618530273,610241.3875320025
2024 Hindcast,2025,1,1762,Energy Waubra Wind 202208,Energy Waubra Wind 202208,Wind Farm,Contracted,Buy,SA Renewable Retailer,VIC1,ppa_lgc,46291.30010887679,-1134136.8526674784,-24.499999999999936,1198944.6728199061,25.89999999999994,25.899999618530273,64807.82015242745
2024 Hindcast,2025,4,2746,Energy New England Solar 202412,Energy New England Solar 20241,Intermittent Generator,Hypothetical,Buy,BOQ Strategic,NSW1,ppa_lgc,54520.85224489346,-1341212.9652243657,-24.599999999999753,1412090.0731427365,25.899999999999924,25.899999618530273,70877.10791836103
2024 Hindcast,2025,1,1951,SE001546,LGC 2024,Certificate,Contracted,Buy,Green,AU,wholesale_lgc,10000.0,-461000.0,-46.1,259000.0,25.9,25.899999618530273,-202000.0
2024 Hindcast,2025,4,1765,Energy Wemen Solar 201806,Energy Wemen Solar 201806,Intermittent Generator,Contracted,Buy,Value Solar,VIC1,ppa_lgc,35015.38740224971,-525230.8110337436,-14.99999999999994,906898.5337182765,25.900000000000258,25.899999618530273,381667.72268452833
2024 Hindcast,2025,1,1994,Energy Collector Wind 202403,Energy Collector Wind 202403,Wind Farm,Contracted,Buy,NSW Renewable Retailer,NSW1,ppa_lgc,20511.873839630003,-307678.1075944506,-15.000000000000027,531257.5324464162,25.899999999999956,25.899999618530273,223579.4248519669
