deal_id,product_id,name,duid,fuel,floor,turndown,size_mw,rez,regionid,product_start_date,product_end_date,quantity_factor
1752,1247,Energy Blue Grass Solar 202203,BLUEGSF1,Solar,0,,149,Q8,QLD1,1/08/2022,6/02/2033,0.25
1753,1248,Energy Diapur Wind 202212,DIAPURWF1,Wind,0,,7.4,V3,VIC1,1/01/2023,31/12/2032,1
1754,1249,Energy Ferguson Wind 202212,,Wind,0,,11,V4,VIC1,1/01/2023,31/12/2032,1
1755,1250,Energy Moree Solar 202202,MOREESF1,Solar,,,56,N1,NSW1,1/07/2022,31/12/2026,0.269
1756,1251,Energy Mortons Lane Wind 202212,MLWF1,Wind,0,,19.5,V4,VIC1,1/07/2023,31/12/2032,1
1757,1252,Energy Mulwala Solar 202209,,Solar,-80,,5,N6,NSW1,25/09/2023,24/09/2033,1
1766,1253,Energy Numurkah Solar 201810,NUMURSF1,Solar,0,-48,76.8,V6,VIC1,1/07/2019,30/06/2034,0.6
1758,1254,Energy Nyngan Solar 202212,,Solar,0,,5,N3,NSW1,1/01/2024,31/12/2033,1
1760,1255,Energy Tailem Bend 2 Solar 202203,TB2SF1,Solar,,,87,S1,SA1,22/01/2024,21/01/2039,1
1761,1256,Energy Wagga Wagga Solar 202303,,Solar,0,,18.7,N6,NSW1,3/07/2023,3/07/2033,0.8
1762,1257,Energy Waubra Wind 202208,WAUBRAWF,Wind,0,,192,V3,VIC1,1/07/2022,30/06/2032,0.34
1765,1258,Energy Wemen Solar 201806,WEMENSF1,Solar,0,,110,V2,VIC1,7/11/2018,31/12/2026,0.9
1759,1259,Energy Renmark Solar 202212,,Solar,0,,4.2,S2,SA1,1/01/2023,31/12/2025,1
1764,1260,Energy Woods Point Solar 202304,,Solar,0,,3.5,S1,SA1,1/04/2023,31/03/2026,1
1805,1273,Energy Waubra Wind 202401,WAUBRAWF,Wind,0,,192,V3,VIC1,15/01/2024,31/12/2033,0.37
1991,1320,Energy Starfish Hill Wind 202403,STARHLWF,Wind,0,,33,S3,SA1,1/04/2024,31/03/2034,1
1994,1322,Energy Collector Wind 202403,COLWF01,Wind,0,,226,N3,NSW1,1/04/2024,31/03/2034,0.206
2443,1386,Energy Cathedral Rocks Wind 202408,CATHROCK,Wind,0,,66,S8,SA1,1/08/2024,30/06/2034,1
2420,1374,Energy Kootingal Solar 202407,,Solar,0,,5,N2,NSW1,7/04/2025,29/01/2030,0.7
2702,1413,Energy Edenvale Solar 202411,EDENVSF1,Solar,0,0,146,Q8,QLD1,1/10/2024,30/06/2025,0.525
2419,1373,Energy Gunnedah Solar 202407,,Solar,0,,5,N1,NSW1,3/06/2025,9/04/2030,0.7
2421,1375,Energy Temora Solar 202407,,Solar,0,,5,N6,NSW1,28/04/2025,8/12/2029,0.7
2426,1382,Energy Ginan Solar 202406,,Solar,0,,48,V6,VIC1,1/04/2024,31/03/2028,1
2714,1424,Energy Hillston 1 Solar 202409,,Solar,0,,85,N5,NSW1,6/08/2025,14/06/2030,0.7
2716,1426,Energy Hillston 2 Solar 202409,,Solar,0,,5,N5,NSW1,17/09/2025,14/08/2030,0.7
2706,1416,Energy Kerang Solar 202408,,Solar,0,,37.2,V2,VIC1,31/03/2025,30/03/2035,1
2712,1422,Energy Hay Solar 202409,,Solar,0,,5,N5,NSW1,2/10/2025,31/05/2030,0.7
2746,1429,Energy New England Solar 20241,NEWENSF1,Solar,0,,400,N2,NSW1,1/07/2024,30/06/2035,0.23
2893,1479,Energy Moorabool Wind 202503,,Wind,0,,312,V3,VIC1,1/03/2025,31/08/2025,1
